country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,ADMIN
niger,0,15.1,926,16.955,12.256,351.043,Niger
mali,0.013914751,16.4,2014.306,15.196,34.954,1463.675,Mali
chad,0.015592126,16.7,1768.153,11.833,11.351,434.467,Chad
angola,0.01606743,16.8,5819.495,23.89,55.992,2923.178,Angola
uganda,0.018172348,16.4,1697.707,213.759,76.31,3479.238,Uganda
burkina faso,0.022206764,17.6,1703.102,70.151,17.77,970.271,Burkina Faso
gambia,0.022548762,17.5,1561.767,207.566,146.767,4821.192,Gambia
burundi,0.022694263,17.5,702.225,423.062,3.101,3150.359,Burundi
mozambique,0.023063482,17.7,1136.103,37.728,68.401,7004.156,Mozambique
nigeria,0.024372832,18.1,5338.454,209.588,14.863,1208.96,Nigeria
zambia,0.025393961,17.7,3689.251,22.995,209.665,16779.703,Zambia
tanzania,0.025605247,17.7,2683.304,64.699,13.008,549.851,United Republic of Tanzania
guinea,0.026319548,19,1998.926,51.755,32.599,2701.22,Guinea
senegal,0.026987077,18.7,2470.58,82.328,114.269,4997.584,Senegal
benin,0.028950299,18.8,2064.236,99.11,13.091,2164.64,Benin
malawi,0.029154332,18.1,1095.042,197.519,133.756,4360.973,Malawi
guinea-bissau,0.030671322,19.4,1548.675,66.191,84.347,4054.597,Guinea Bissau
cameroon,0.031419558,18.8,3364.926,50.885,70.782,4391.083,Cameroon
zimbabwe,0.033197686,19.6,1899.775,42.729,361.446,16357.488,Zimbabwe
afghanistan,0.034096578,18.6,1803.987,54.422,192.567,4467.732,Afghanistan
sao tome and principe,0.034612053,18.7,3052.714,212.841,326.821,26629.179,Sao Tome and Principe
congo,0.035175412,19,4881.406,15.405,68.057,4256.484,Republic of Congo
democratic republic of congo,0.035175412,17,808.133,35.879,14.473,939.055,Democratic Republic of the Congo
liberia,0.035260366,19.2,752.788,49.127,56.754,1428.514,Liberia
madagascar,0.036026366,19.6,1416.44,43.951,48.826,2253.113,Madagascar
sudan,0.036323708,19.7,4466.507,23.258,109.265,1380.269,Sudan
ethiopia,0.036468403,19.8,1729.927,104.957,63.694,3987.055,Ethiopia
togo,0.036670992,19.4,1429.813,143.366,32.082,4358.805,Togo
eritrea,0.037701529,19.3,1510.459,44.304,28.599,2701.125,Eritrea
sierra leone,0.038117461,19.1,1390.3,104.7,15.354,942.719,Sierra Leone
mauritania,0.03820734,20.3,3597.633,4.289,205.65,12295.005,Mauritania
rwanda,0.039309473,20.3,1854.211,494.869,109.893,9772.292,Rwanda
comoros,0.040717586,20.4,1413.89,437.352,180.088,9111.312,Comoros
vanuatu,0.042268471,23.1,2921.909,22.662,9.54,15629.77,Vanuatu
yemen,0.042975812,20.3,1479.147,53.508,70.349,387.398,Yemen
palestine,0.043595824,20.4,4449.898,778.202,1082.762,125659.135,Palestine
iraq,0.044838947,20,15663.986,88.125,611.496,56372.161,Iraq
kenya,0.045171977,20,2993.028,87.324,102.718,5883.784,Kenya
timor,0.046186637,18,6570.102,87.176,96.735,16997.117,East Timor
tajikistan,0.046846326,23.3,2896.913,64.281,12.821,1824.275,Tajikistan
ghana,0.046953785,21.1,4227.63,126.719,45.537,5074.794,Ghana
eswatini,0.048329983,21.5,7738.975,79.492,1189.898,59662.956,Sweden
namibia,0.048739878,22,9541.808,3.078,1553.717,60998.847,Namibia
pakistan,0.052676617,23.5,5034.708,255.573,134.818,6777.24,Pakistan
gabon,0.052851688,23.1,16562.413,7.859,132.963,20882.655,Gabon
papua new guinea,0.05293334,22.6,3823.194,18.22,70.512,4761.923,Papua New Guinea
guatemala,0.057112641,22.9,7423.808,157.834,951.295,45683.782,Guatemala
egypt,0.057926444,25.3,10550.206,97.999,234.734,4883.802,Egypt
botswana,0.059354422,25.8,15807.374,4.044,1120.455,127449.066,Botswana
haiti,0.061553372,24.3,1653.173,398.448,72.173,2649.094,Haiti
lesotho,0.063925139,22.2,2851.153,73.562,322.825,15242.695,Lesotho
kyrgyzstan,0.064162055,26.3,3393.474,32.333,451.244,30319.475,Kyrgyzstan
jordan,0.064461498,23.2,8337.49,109.285,1367.998,164983.189,Jordan
honduras,0.067882657,24.9,4541.795,82.805,1081.984,41863.088,Honduras
bolivia,0.068454294,25.4,6885.829,10.202,1850.682,76317.661,Bolivia
nepal,0.069424029,25,2442.804,204.43,402.731,32975.489,Nepal
cambodia,0.070187978,25.6,3645.07,90.672,180.274,8017.079,Cambodia
philippines,0.0704925,25.2,7599.188,351.873,536.629,33143.777,Philippines
nicaragua,0.071466854,27.3,5321.444,51.667,34.465,2758.871,Nicaragua
belize,0.072040108,25,7824.362,16.426,1620.093,141555.635,Belize
equatorial guinea,0.07351349,22.4,22604.873,45.194,126.216,11036.002,Equatorial Guinea
algeria,0.07424309,29.1,13913.839,17.348,154.068,5955.336,Algeria
paraguay,0.074405852,26.5,8827.01,17.144,2594.45,89804.05,Paraguay
mongolia,0.074537921,28.6,11840.846,1.98,653.895,276270.98,Mongolia
el salvador,0.0762852,27.6,7292.458,307.811,632.201,24786.377,El Salvador
fiji,0.076722857,28.6,8702.975,49.562,923.691,71404.443,Fiji
guyana,0.076817291,26.3,7435.047,3.952,1551.253,80099.553,Guyana
uzbekistan,0.076867502,28.2,6253.104,76.134,48.238,7012.277,Uzbekistan
djibouti,0.076913936,25.4,2705.406,41.285,188.586,15558.817,Djibouti
south africa,0.077898942,27.3,12294.876,46.754,1666.75,62101.35,South Africa
ecuador,0.078161035,28.1,10581.936,66.939,1982.338,48265.604,Ecuador
israel,0.07840704,30.6,33132.32,402.606,1136.476,428643.203,Israel
dominican republic,0.078518403,27.6,14600.861,222.873,399.408,52805.469,Dominican Republic
kazakhstan,0.079311697,30.6,24055.588,6.681,1000.95,73388.106,Kazakhstan
suriname,0.081539491,29.6,13767.119,3.612,2238.94,133898.729,Suriname
morocco,0.081679653,29.6,7485.013,80.08,430.073,31163.814,Morocco
venezuela,0.081724614,29,16745.022,36.253,198.259,18156.661,Venezuela
bangladesh,0.082463411,27.5,3523.984,1265.036,175.12,11737.258,Bangladesh
panama,0.082958929,29.7,22267.037,55.133,1865.536,174863.057,Panama
mexico,0.083015354,29.3,17336.469,66.444,2483.514,43876.912,Mexico
india,0.084039402,28.2,6426.674,450.419,374.314,30883.298,India
libya,0.084478259,29,17881.509,3.623,922.464,72103.939,Libya
myanmar,0.085342022,29.1,5591.597,81.721,354.596,11169.066,Myanmar
indonesia,0.086353903,29.3,11188.744,145.725,562.701,21813.482,Indonesia
lebanon,0.087290401,31.1,13367.565,594.561,1526.188,161629.723,Lebanon
argentina,0.088526036,31.9,18933.907,16.177,2810.124,198423.127,Argentina
turkey,0.091453936,31.6,25129.341,104.914,1156.019,175667.667,Turkey
jamaica,0.091577218,31.4,8193.571,266.879,975.63,43366.957,Jamaica
tunisia,0.092378926,32.7,10849.297,74.228,2381.498,86911.739,Tunisia
peru,0.092449591,29.1,12236.706,25.129,6367.618,106423.929,Peru
azerbaijan,0.093919869,32.4,15847.419,119.309,949.102,77485.997,Azerbaijan
sri lanka,0.094058118,34.1,11669.077,341.955,766.933,30814.326,Sri Lanka
bhutan,0.094198699,28.6,8708.597,21.188,15.387,47504.808,Bhutan
malaysia,0.094225984,29.9,26808.164,96.254,1074.804,130966.544,Malaysia
grenada,0.094759311,29.4,13593.877,317.132,1928.947,124089.723,Grenada
colombia,0.094934707,32.2,13254.949,44.223,2724.875,118736.431,Colombia
iran,0.095474883,32.4,19082.62,49.831,1652.288,84486.802,Iran
antigua and barbuda,0.098340796,32.1,21490.943,231.845,1367.393,76077.708,Antigua and Barbuda
bahamas,0.098904868,34.3,27717.847,39.497,1985.317,83972.851,The Bahamas
saint vincent and the grenadines,0.100173049,31.8,10727.146,281.787,952.646,74944.504,Saint Vincent and the Grenadines
armenia,0.100575916,35.7,8787.58,102.931,2903.851,142389.075,Armenia
seychelles,0.100590475,36.2,26382.287,208.354,1658.073,413163.482,Seychelles
brazil,0.10196776,33.5,14103.452,25.04,3089.945,140636.684,Brazil
uruguay,0.102107454,35.6,20551.409,19.751,2059.881,256073.193,Uruguay
costa rica,0.102731108,33.6,15524.995,96.079,1620.337,163715.572,Costa Rica
brunei,0.103000392,32.4,71809.251,81.347,484.676,311608.219,Brunei
georgia,0.105553248,38.7,9745.079,65.032,4212.552,414774.411,Georgia
ireland,0.108480013,38.7,67335.293,69.874,1373.296,297882.721,Ireland
new zealand,0.108559209,37.9,36085.843,18.206,83.101,144741.236,New Zealand
chile,0.108877443,35.4,22767.037,24.282,2962.259,182209.246,Chile
trinidad and tobago,0.109977227,36.2,28763.071,266.886,2688.521,99470.989,Trinidad and Tobago
australia,0.110193659,37.9,44648.71,3.202,253.061,192774.087,Australia
iceland,0.110613919,37.3,46482.958,3.404,276.579,495219.528,Iceland
saint lucia,0.110792047,34.9,12951.839,293.187,1979.382,124717.328,Saint Lucia
united states,0.112420847,38.3,54225.446,35.608,2957.424,241170.326,United States of America
albania,0.113122931,38,11803.431,104.871,1215.482,95410.476,Albania
montenegro,0.113289373,39.1,16409.288,46.28,4308.567,371915.657,Montenegro
russia,0.114908329,39.6,24765.954,8.823,2490.919,121261.208,Russia
cyprus,0.116536371,37.3,32415.132,127.657,1068.074,504834.236,Cyprus
united kingdom,0.116879987,40.8,39753.244,272.898,2486.09,316365.299,United Kingdom
france,0.116986173,42,38605.671,122.578,2122.245,394571.92,France
mauritius,0.117023139,37.4,20292.745,622.962,773.503,168725.676,Mauritius
barbados,0.117103356,39.8,16978.068,664.463,1310.356,212948.545,Barbados
sweden,0.11818819,41,46949.283,24.718,1821.428,245269.784,Sweden
norway,0.118358304,39.7,64800.057,14.462,487.958,258699.776,Norway
china,0.118562071,38.7,15308.712,147.674,3.211,235.63,China
thailand,0.119000281,40.1,16277.671,135.132,368.659,54436.913,Thailand
belarus,0.11907591,40.3,17167.967,46.858,727.11,102482.752,Belarus
belgium,0.119843634,41.8,42658.576,375.564,2664.727,336624.791,Belgium
latvia,0.120910646,43.9,25063.846,31.212,3037.065,431951.531,Latvia
saudi arabia,0.120944104,31.9,49045.411,15.322,256.192,21264.956,Saudi Arabia
north macedonia,0.121216475,39.1,13111.214,82.6,4434.711,147572.745,Macedonia
denmark,0.121453116,42.3,46682.515,136.52,1004.077,529526.077,Denmark
estonia,0.121605028,42.7,29481.252,31.033,1872.187,424176.796,Estonia
ukraine,0.12261207,41.4,7894.393,77.39,2587.238,115962.423,Ukraine
moldova,0.122827215,37.6,5189.972,123.655,2846.652,127951.988,Moldova
lithuania,0.122849554,43.5,29524.265,45.135,3325.078,385678.522,Lithuania
serbia,0.12315759,41.2,14048.881,80.291,2308.359,289081.774,Republic of Serbia
canada,0.123281199,41.4,44017.591,4.037,994.696,92831.488,Canada
finland,0.124386254,42.8,40585.721,18.136,600.898,165939.455,Finland
netherlands,0.124475421,43.2,48472.545,508.544,1291.206,469043.843,Netherlands
luxembourg,0.125164288,39.7,94277.965,231.447,1641.426,350975.246,Luxembourg
slovakia,0.126031516,41.2,30155.152,113.128,3578.461,455131.054,Slovakia
romania,0.126116602,43,23313.199,85.129,3407.088,149979.674,Romania
poland,0.127171725,41.8,27216.445,124.027,3056.751,158082.387,Poland
switzerland,0.127611521,43.1,57410.166,214.243,1560.898,404875.386,Switzerland
hungary,0.127632199,43.4,26777.561,108.043,4741.876,193644.969,Hungary
austria,0.128055905,44.4,45436.686,106.749,1784.902,436816.272,Austria
croatia,0.128378505,44,22669.797,73.726,3834.717,271104.848,Croatia
czechia,0.128462625,43.3,32605.906,137.176,3715.213,359539.274,Czech Republic
bosnia and herzegovina,0.129592825,42.5,11713.895,68.496,4819.426,115223.755,Bosnia and Herzegovina
malta,0.12966925,42.4,36513.323,1454.037,1263.321,163530.324,Malta
germany,0.130773016,46.6,45229.245,237.016,1565.784,267921.059,Germany
bulgaria,0.130958549,44.7,18563.307,65.18,5317.36,165893.031,Bulgaria
slovenia,0.131495562,44.5,31400.84,102.619,3137.984,472782.569,Slovenia
greece,0.132734191,45.3,24574.382,83.479,2696.816,302554.29,Greece
portugal,0.13274744,46.2,27936.896,112.371,2146.653,358837.69,Portugal
spain,0.132822309,45.5,34272.36,93.105,2193.615,247117.806,Spain
hong kong,0.133256123,44.8,56054.92,7039.714,1132.957,156661.768,Hong Kong S.A.R.
italy,0.135798704,47.9,35220.084,205.859,2657.093,250235.197,Italy
japan,0.138588158,48.2,39002.223,347.778,226.345,54627.787,Japan
singapore,0.141129699,42.4,85535.383,7915.731,236.541,206864.273,Singapore
kuwait,0.14717509,33.7,65530.537,232.128,590.267,145524.844,Kuwait
