male,female,total
2768.066,2612.357,5380.423
2687.416,2542.391,5229.807
2341.048,2218.133,4559.181
2128.81,2022.766,4151.576
1941.425,1858.446,3799.871
1718.989,1646.73,3365.719
1492.575,1434.787,2927.362
1262.099,1214.222,2476.321
1088.847,1061.171,2150.018
890.358,896.244,1786.602
684.409,730.586,1414.995
430.293,495.864,926.157
306.318,363.398,669.716
282.693,339.984,622.677
153.582,178.363,331.945
106.824,134.949,241.773
51.696,74.91,126.606
18.072,30.321,48.393
3.751,7.773,11.524
0.467,1.203,1.67
0.04,0.127,0.167
